,author_collect_nr,author_fans_nr,author_name,author_note_nr,comment_nr,content,datePublished,images,like_nr,star_nr,title,url,user_url
1326,19,4,银酱_57B3455A,6.0,5.0,泰国代购买的小黑瓶肌底液30ml，两天到手才150 ，液体乳白偏清透，抹开滑滑的，很好吸收，没过敏，就是太便宜了有点担心是不是正品，但是店主在泰国每天都在朋友圈更新小视频，应该问题不大。贫民窟女孩要开始抗老了之前用的佳雪，会有点难吸收，后来换成swisseVE面霜就不会了 ，如果有搓泥的情况估计是其他护肤品的问题,2019-02-04T18:54:00,"['https://ci.xiaohongshu.com/682fd55f-4384-5cf9-b8db-1a5eef9836d4?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/79c25d9c-0c4b-5281-a77e-5d8c9aeb9b5d?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/6d99f794-2fc4-5da6-aa35-7a8d15772058?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/f36b6c5c-62cd-5300-968e-fdb85e73ee1f?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/ce6dc530-cc09-5ef5-ae1e-8764fd6ebfa7?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/be6bef60-5c0c-56f2-8544-bedc888f4ba0?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/169ff8e8-9f96-5dc3-9ee7-e6d52fef05df?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/bf35c1dd-0e2c-5cd4-afd7-a746b9b27cdf?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90']",6,3,泰国代购买的小黑瓶肌底液30ml，两天到手才150 ，液体乳白偏清透,https://www.xiaohongshu.com/discovery/item/5c5819e4000000001c013a93,https://www.xiaohongshu.com/user/profile/57b1bef282ec390cd5c13582
4357,22,9,杨咩咩,10.0,0.0,红色蜜露红腰子颐莲喷雾或养生堂喷雾兰蔻菁纯眼霜妮维雅辅酶Q10面霜夏天变成了混油 早上是简简单单喷雾+眼霜 偶尔来个精华 或者面霜最近懒到不擦防晒 我很后悔 但是还是不改………全身上下脸最黑……,2019-07-02T21:09:00,['https://ci.xiaohongshu.com/e36c785f-8b45-3192-8b37-b14d9bee83da?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90'],4,0,近日晚间护肤,https://www.xiaohongshu.com/discovery/item/5d1b57760000000028037cd5,https://www.xiaohongshu.com/user/profile/565da28482718c1bd6335fc9
1716,213,29,雯小妹,11.0,18.0,四款人气爆款精华肌底液测评(兰蔻小黑瓶、欧莱雅酵素精华、黛珂小紫瓶、初遇思芙肌底液)1⃣欧莱雅小黑瓶 💰❸❺⓿/❺⓿ml我是偶然看到美妆大咖分享的就安耐不住躁动的好奇心就买了一瓶，我是在淘宝上官网购买的，他是属于滴管式的用的时候滴一滴管涂抹在脸上就可以了。质地很清爽每次涂抹我都是滴一滴管，我一般就是在爽肤水之前用因为这样吸收会更好一点。主要功效就是：提亮肤色、缩小毛孔、细嫩皮肤。如果想要缩小毛孔和提亮肤色的可以选择这一款价格也还好。   🔱推荐指数❤❤❤2⃣兰蔻小黑瓶 💰❼❻⓿兰蔻小黑瓶是这里面最贵的肌底液了💸   主打是利用二裂酵母抗皱和去细纹，用了之后皮肤会变得更加的弹滑，质地更偏向乳白色不会太粘腻。并且小黑瓶还具有一定的修复能力。但是这款会比较贵一点我每次用的时候都会比较省一点。这款的话能接受价格的范围的话可以选择考虑。🔱推荐指数❤❤❤❤3⃣ 黛珂小紫瓶  💰❻❾⓿黛珂小紫瓶大家很多人都以为他是精华，但其实他是一款肌底液。它的主要功能是保湿保湿还是保湿。我一般都是在洁面后第一个使用的。我之前有段时间皮肤非常的缺水然后就买了一瓶黛珂的小紫瓶。用起来质地很清爽水润很适合夏天大油皮用。味道也不是很浓烈是一股花草香。这款肌底液就是保湿补水功能很好。需要补水保湿的宝宝可以选择入手。价格也有一点点小贵的对于一些学生党的话。🔱推荐指数❤❤❤4⃣  初遇思芙肌底液💰❼❽这款肌底液呢就相对于前几款平价很多了，不要看价格很低但是他的性价比很高。它是一款主打修复保湿嫩肤的肌底液，堪称为平价版的兰蔻小黑瓶。它是质地很很温和，每次用的时候滴几滴就可以了。也是在洁面后第一个使用。它是功效；强效祛痘、淡化痘印、补水保湿、提亮肤色。祛痘功能是这款的主打，像我之前长了一颗起了白浓的痘痘然后用两晚肌底液浓就已经没有了。所以对于他的祛痘功能我还是很满意的并且价格还非常平价。有时候我懒得涂保湿水之类的就会只涂一下肌底液第二天皮肤也一样很好。这款的话学生党和想要祛痘的宝宝可以选择入手。但是这款我是在朋友那买的🔱  推荐指数❤❤❤❤❤,2019-03-19T16:03:00,"['https://ci.xiaohongshu.com/22277329-ebe1-310e-8a65-dea77395b8db?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/cfb88040-bdac-3ee0-b204-563d6c1e0a8f?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/4ffb7f98-e33e-3ec0-ada9-71717a3726bb?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/19aefa7c-c9e7-3af4-a3fa-255161ac7d2e?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/789a20f0-d967-397a-afb7-80763e077171?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90']",43,16,四款人气爆款精华肌底液测评(兰蔻小黑瓶、欧莱雅酵素精华、黛珂小紫瓶、初遇思芙肌底液),https://www.xiaohongshu.com/discovery/item/5c90a268000000000f006bc7,https://www.xiaohongshu.com/user/profile/5a20957f4eacab728686c8ac
2323,2195,215,tokyo楠楠菌,164.0,120.0,日本邮局🏤通知的，红腰子精华不能邮寄到海外，不让发航空。这是继安耐晒后又一爆款阵亡啊。  ​​​红腰子精华：保湿！提亮！收缩毛孔！增强肌肤免疫力~修复和改善各种肌肤问题（干燥、有痘、暗沉等）！质地非常水润轻薄，就像蛋清一样，流动性较强，推开之后肌肤能感觉到强烈的水润感！,2019-05-15T11:07:00,"['https://ci.xiaohongshu.com/2f5030bd-ea80-5599-968e-196241c76635?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/4b7198a5-bd71-56b5-9c99-9cbbb9c460a7?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90']",94,25,日本邮局禁止邮寄红腰子精华,https://www.xiaohongshu.com/discovery/item/5cdb826f000000000f00d35f,https://www.xiaohongshu.com/user/profile/5a1e92f54eacab463305a529
455,6286,632,💤,10.0,184.0,我坚持用了2年的资生堂红腰子精华，现在脸透亮耐打胜铁皮Q：“红腰子好用吗？好多人都说很鸡肋，用了一瓶就弃了，无功无过！”A：“我用了两年了，现在肌肤稳稳的~”Hhhhhhhhhhh，这个对话在我生活中也就随便出现过N次吧，作为红腰子的脑残粉、资深受益人，今天想好好聊一下使用心得，希望能够帮助正在犹豫入手的你💙本人过往肤质：干性偏干、重度不稳定（姨妈痘~~换季敏感~~吃个火锅长闭口~~去角质也会看心情过敏~~~~手不干净碰一下脸也会冒东西）   以及  2016年一整年额头都在疯狂长闭口（去医院看了4次医生也救不了我）😶😶资生堂红腰子精华官方宣传主打“维稳、修护”的功效，当时觉得口评不错，就买来试试。刚开始使用的时候，是我皮肤最糟糕的一年（即上述问题），我并没有感觉到有什么特别的效果，仅仅觉得很好吸收，也没什么过分的气味，有时候抹个水就直接上了，用完皮肤润润的也不黏腻，保湿很好，这一点很喜欢，毕竟几乎所有的肌肤问题都是因为缺水干燥引起的。按照我的用量，早晚都用差不多2个月一瓶，可参考一下。第一瓶🌟：用完第一瓶（30mi）也没啥感觉，仅仅皮肤不那么干燥紧绷了，就再回购了。第三瓶🌟：用完第三瓶（50ml）的时候是半年的样子，明显感觉皮肤细腻了许多，上妆更服帖了。大约第六瓶🌟：皮肤真的稳定了很多，我额头很多闭口慢慢的也少了，仅仅冒个一个两个（当然啦，我平时饮食也很注意，并且一直会喝点菊花茶清清火），脸上整体干净了很多！！！皮肤很柔软，水油也很平衡，皮肤差的时候早上醒来，脸上油腻腻的，但是后面完全不会。💫大概第十瓶🌟：差不多一年半的时间，我的闭口再也不长了！！真的没有了，额头很干净脸上肌肤很平滑细腻，也慢慢的很透亮，我之前有点点黄气。（ps：虽然闭口不长了，但是我还是会注意饮食清淡）直到.......现在我皮肤状态很稳，换季也不过敏了，偶尔熬个夜会口腔溃疡但都不会致痘，脸比之前能扛多了，皮肤很透亮，这一点我蛮意外的，意料之外的效果！皮肤变得很细致水润，每次化妆都很开心，毕竟很好上妆，卸妆也不暗沉，hhhh~说到这个我有个超爱的底妆产品，也是用了巨久，心得也是超多。🙋Enmmm~差不多说完啦，最后一句总结一下：皮肤健康了稳定了，它才会向更好的方向发展，就好比走路，走稳了才能跑嘛~👣👣👣👣👣敏感肌能用的精华 拯救敏感肌 口碑精华肌底液 精华深度测评 去闭口精华测评 怎么才能去闭口 美白精华推荐 ,2018-05-16T14:30:00,"['https://ci.xiaohongshu.com/4e67dc66-9ad6-46c0-8ee5-6a83dfd98b5d?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/e552e1be-a973-47b7-87bf-37b270497534?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90']",308,258,我坚持用了2年的资生堂红腰子精华，现在脸透亮耐打胜铁皮 Q：“红腰子好用吗？,https://www.xiaohongshu.com/discovery/item/5afbd01d0c17b81b9d930588,https://www.xiaohongshu.com/user/profile/5a24e8ff4eacab54c1aebdab
2783,782,60,吃梨🍐,12.0,0.0,以上图片均为iphone前置拍摄小棕瓶两瓶50ml一共160💲娇韵诗双萃港币900左右娇韵诗双萃是我当时怀孕买的第一款精华，没用之前我的脸上真的很多斑点，我以前从来没有保养皮肤的习惯，也不太懂，但用了两年后我的斑点几乎没多少了，中间用完有换小棕瓶，几乎交换使用，所以我也不知道是谁的功劳,2019-06-10T12:27:00,"['https://ci.xiaohongshu.com/13b04678-ff0a-3245-a51e-5888a2ec25f5?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/0f8326ad-d283-3f83-83a3-0a4be3f10eba?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/188aa2ea-0cb0-3666-8e6a-5375170cb23f?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/a770229f-1b0a-3eb9-84ef-785f2050e53c?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/9f4aff86-dee5-3fda-9c50-74aca8edc652?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/e8a27fa3-ca16-3bf9-a9ea-341443cd7c76?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90']",4,0,娇韵诗双萃精华/雅诗兰黛小棕瓶,https://www.xiaohongshu.com/discovery/item/5cfddc24000000002702127e,https://www.xiaohongshu.com/user/profile/5955ac3782ec397f807626fe
2060,1,0,吉吉,1.0,0.0,据说泰国那边这个价格很划算，所以有没有盆友做这个的？  ,2019-04-21T00:16:00,['https://ci.xiaohongshu.com/8403572c-5cce-5d8b-88e7-f73c8bd38a4d?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90'],1,0,欧莱雅小黑瓶/肌底液,https://www.xiaohongshu.com/discovery/item/5cbb45ee000000000d00872f,https://www.xiaohongshu.com/user/profile/5ca236990000000016009ed1
3898,31,2,Ama__,7.0,0.0,1，欧莱雅卸妆水。俄罗斯代购购入，好像是卸眼唇的，但是辣眼睛。用来卸脸还行，但作为眼唇卸，太刺激。不回购。2，资生堂红腰子。很好，保湿力一级棒。建议回购无数次。冬天特别适合我们干皮。夏天也可，不油腻很棒。3，bifesta 很好的眼唇卸不刺激。天猫做活动价格很合适，建议购买。4，muf 卸妆乳。别买。难用的一逼…卸不干净不说，用完脸上还有膜感。使用期间还长了很多闭口，当然我本身也是闭口很多，不能肯定是它的原因。但若你是闭口肌肤，别买！别买！别买！十块钱都别买！5，最后一个瓶子被我扔了。是three 三角瓶的卸妆油，比方瓶子植物纯度更高。也是建议闭口肌肤别买，很闷。卸眼睛的时候，疼得很。,2019-06-30T18:01:00,['https://ci.xiaohongshu.com/11850b84-49bc-3029-af06-3e5569b04ec4?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90'],6,0,空瓶分享,https://www.xiaohongshu.com/discovery/item/5d188875000000002600fece,https://www.xiaohongshu.com/user/profile/57ba66ef5e87e739d3fae223
1462,3.7万,9292,小玉功课本,14.0,66.0,买前必看|兰蔻小黑瓶肌底液功课✅TIPS：肌底液和精华的区别对于皮肤状态较好的人，肌底液可以当精华使用；对于有问题的肤质，肌底液叠加精华使用，可让精华发挥出加倍的效果⭕️功效：强韧肌底，改善干燥、细纹、粗糙，紧致肌肤❤️质地：透明蛋清质地，延展性好，轻薄易吸收✔️适合肤质：混合性和油性肤质（含变性乙醇，敏感肌、干皮不建议使用）🔴使用方法：爽肤水之后使用，每次使用一滴管，按摩全脸直至吸收🔺巧用法1⃣️：敷面膜前全脸涂抹一层小黑瓶肌底液，敷完更滋润，水嫩🔺巧用法2⃣️：妆前用小黑瓶打底，或者在粉底液中滴1-2滴小黑瓶肌底液，可以快速修复干燥，让妆容更服帖,2019-02-26T18:59:00,['https://ci.xiaohongshu.com/f3e7a198-6403-5c96-92b7-f9cdd267e065?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90'],287,169,买前必看|兰蔻小黑瓶肌底液功课 ✅TIPS：肌底液和精华的区别,https://www.xiaohongshu.com/discovery/item/5c751c24000000000f02b7c2,https://www.xiaohongshu.com/user/profile/5c638198000000001100c7f6
1864,135,22,carol,5.0,150.0,"在日上入的兰蔻小黑瓶100 ML,虽然量大，但是只够四个月用的，于是又在日上买了小红书风很大的欧莱雅青春密码酵素肌底液  欧莱雅小黑瓶真的很香，香的有点廉价，质感相对兰蔻有些稠，吸收度也差一点，而且头几次使用有点刺痛！！我已经做好补水工作再用的这款精华，所以不是我皮干，是它真的没有那么温和！！！兰蔻小黑瓶就很清透，上脸就吸收，也能实在感受到确实有加强了后续精华的吸收。价格摆在这里，对比使用感有点不公平。那就直接看有没有养肤的功效咯！ 负责任的说:欧莱雅小黑瓶对肌肤的改善度真的很不明显！ 总结就是不会回购这个所谓的平价替代",2019-04-01T20:35:00,['https://ci.xiaohongshu.com/cdf3daea-ad89-5dc9-a372-dbffa18c496c?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90'],76,17,欧莱雅小黑瓶根本不是兰蔻小黑瓶的平价替代,https://www.xiaohongshu.com/discovery/item/5ca2059c000000000e00af02,https://www.xiaohongshu.com/user/profile/5b2f85e911be1059e16c01a8
2096,845,67,cornbaby🌽,12.0,4.0,雅诗兰黛小棕瓶系列🎈今天来说一说雅诗兰黛的这款眼部精华是不是真的有传说的那么厉害👍顺便和你们分享一下我的使用方法😳📣本人今年24，作为一个资深熬夜少女来说，真的最最在意的就是眼部问题了，大学时候才开始用眼霜，当时也是用的某大牌的眼部精华➕眼霜，用空瓶了以后发现并没有什么感觉。(在此不做任何平价，因为可能每个人的使用感受不一样)😁其实用完以后没有效果我就特别怕踩雷，但听朋友说雅诗兰黛是眼部世家让我去试试，我抱着试一试的心态入了它们家的明星小棕瓶系列✌️接下来我来说说我的使用感受👍📣这款眼部精华的质地是乳液状的，流动性不大，比小棕瓶眼霜的质地更清爽一些，真的特别好吸收，在用眼霜之前，我都用这个眼部精华先进行按摩，然后再用小棕瓶眼霜，眼精华它有一个自带的360按摩棒，非常方便舒服，瓶口有白色瓶塞设计，我个人感觉挺好的，因为这样每次的取量都不会很多，刚刚好✌️1️⃣取适量的眼部精华2⃣️用图一左图的方法：在眼下方由外向内来回涂抹三次3⃣️用图一右图的方法：将按摩棒剩余的精华逆时针在眼周打圈按摩💆4⃣️用按摩头对着图三，图四，图五的穴位轻轻按压，顺序是：-睛明穴 -攒竹穴 -鱼腰穴 -丝竹穴 -太阳穴 -承泣穴 这些穴位我通常会按压3次，每次3秒左右，按压的力度可以根据自己的感受进行调整5⃣️我会在用无名指的指腹轻轻做个按摩提拉，让精华吸收📣雅诗兰黛的这款眼部精华和眼霜我已经用了第三瓶了，我想说坚持✊坚持✊坚持✊效果的很明显，目前我的眼部状态我自己感觉是挺棒的😳之前我上妆，眼周经常卡纹，现在上底妆眼下方基本不卡纹了，整个眼部的状态看起来都很棒💯✔️对于比较在意眼部问题的女生，雅诗兰黛的这个系列眼霜和精华真的很值得大家入手试一试，效果一定不会失望🌙最后祝还没睡的小仙女们：健康可爱 没有眼袋 ​❤️,2019-04-25T00:05:00,"['https://ci.xiaohongshu.com/207bab94-545c-583a-8c68-0229c8913c76?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/dd749835-966b-5ba8-b5f5-1399c9c0a19c?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/eb5e7401-78f5-5784-a628-d4d6d6e22188?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/b445cd81-217f-5409-8330-d29ac3fcfb4e?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/63047c44-495c-51bd-b90a-040c0599d6a5?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/bc2a9a3b-7e28-51b1-8382-748f383a04cb?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/df540c49-c197-595f-a2ff-a07d61f24ddb?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/c8e544c9-e67b-5fde-b40f-8250b2e6233f?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90']",34,18,雅诗兰黛小棕瓶眼精华✔️教你如何对抗黑眼圈,https://www.xiaohongshu.com/discovery/item/5cc08950000000000f024546,https://www.xiaohongshu.com/user/profile/59aad9895e87e764a612dccc
3464,417,1030,凌波微步,56.0,0.0,1.sk2小灯泡由于我是个夜猫子，熬夜第二天脸暗沉是常事，想要第二天不暗沉，熬夜一定要涂小灯泡啊~第二天不能补觉，起床一脸蜡黄？也一定要用小灯泡，真的是急救一把好手。皮肤黄没关系，我们亚洲人本来就是黄皮肤，也不可能把自己折腾成欧洲人的大白皮。但是亮度一定要有啊！皮肤亮堂会显得精神都很好！！小灯泡的淡化痘印效果和提亮效果满满的~不过美白是个长久的过程，是需要点耐心啦～2.资生堂红腰子这款红腰子精华有淡淡的清香，是清香清香，不浓郁。精华乳白色如图3，流动性不错，延展性好，涂抹后不油腻，不油光。玻璃瓶身很有质感，是我喜欢的红色系。总体来说，红腰子精华保湿功效很好，长期使用肌肤可保持状态稳定。即使在生理期，皮肤也不会太粗糙或者冒痘。它对于换季时泛红或者敏感的肌肤也有很好的修复效果，涂后脸蛋滑溜溜的，期待用完一瓶后的效果~3.Dhele闺蜜精华这个神奇的精华液可以适用任何肌肤，它可以把肤质调理到一个平衡的状态，混油使用可以使皮肤更光滑，更加细腻，油分越来越少。真的非常神奇，我原来是非常油的大油田，就是上妆要拍无数散粉上脸的那种人，但是用了这个闺蜜精华以后，我明显的感觉到自己的脸上没有那么多油了，上妆也没有那么快就掉妆了，而且脸上好多的瑕疵也被修复了~4.娇兰复原蜜它的流动性很好，比爽肤水的肤感稍微稠一点点，上脸不油腻，三四滴按压在脸上吸收很快，用后觉得皮肤瞬间变得平滑柔软。但并没有如很多推荐文写的三四天甚至一周就看到很惊艳的效果，原谅我的诚实。我用下来最大的体会就是对红血丝有些效果，但需长期坚持，对痘痘和痘印无效果，也没有提拉紧致的效果。黛禾露,2019-06-27T20:20:00,"['https://ci.xiaohongshu.com/a42d0283-1b05-33d2-ae4e-411c73c6dd64?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/10970a7e-9380-31ea-8e3b-44539e40b696?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/740277e3-983c-3c24-91f5-70dbb34894d6?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/99300bc3-3d85-3d0c-8043-5a3046af4295?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/c6fde4d5-c245-379b-bd5c-fc836555c97c?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/1cb92857-73aa-32c9-96cb-85558d6912c0?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/9c2be926-03b0-39d8-87f7-87ced41cfe98?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/57af2e6c-5856-3c2c-8c34-de62c4e6d504?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90']",3,3,这四款精华，你有用过吗~,https://www.xiaohongshu.com/discovery/item/5d14b493000000002703b0d8,https://www.xiaohongshu.com/user/profile/5c4b1fa5000000001200e601
110,5049,591,波仔,14.0,29.0,🌟两个产品都是澳洲专柜入🌟在国内炒的最火的两个兰蔻家产品 据说小黑瓶肌底液是最适合亚洲女性肌肤 所以就买来尝试下🌟小黑瓶眼部肌底液大眼精华🌟这个最具有吸引力的点是它的按摩棒（如图二）可以按摩眼部周围 比平时的眼霜只用手抹吸收效果好一百倍 如果有黑眼袋黑眼圈的话 按摩时可以感觉疙疙瘩瘩的感觉 很舒服 官方说法是 可平滑细纹 淡黑眼圈 上提眼睑 下减眼袋 但我用下来感觉无功无过⚠️注意：按摩时间不要过长至全部吸收 会容易拉扯到皮肤 让残留的眼部精华自己吸收🌟使用方法：1.取出按摩棒在瓶口旋转一下 沾取适量 不要过多或过少2.三种针对性按摩手法：📍帮助淡褪黑眼圈及眼袋：由内向外 在眼睛下方快速的画小圈按摩📍淡化细纹帮助舒缓眼部肌肤疲劳痕迹：将珍珠形滴管置于细纹处 沿着每条细纹上下按摩📍让眼睛更大更明亮：垂直使用珍珠形滴管 以珍珠形滴管的弹性轻压眼周区域按摩点3.按摩完后 用指尖轻轻按摩以至吸收如果还是不明白按摩手法 可自行上官网查询哦🌟兰蔻小黑瓶肌底液🌟这个精华我是用于洁面后第一部 均匀涂抹在面部和颈部 功效是主打保湿 促进后续护肤品更好吸收 也有抗衰老的功效 质地如图三图四 不算太过粘稠 相比其它精华更容易吸收 滴管式瓶口很方便 按钮🔘在瓶顶 一般会滴1-2滴 足够了 这款精华的广告语称7天可让皮肤变好 刚涂抹上去时 皮肤就变的很嫩很软 手感很好 自己感觉不太适合夏天用 或许悉尼的夏天太热了 冬天用是一款很好的锁水保湿产品呢所有护肤品都不是手术刀 不要妄想一天两天就可以拯救肌肤状态 都要坚持使用哦,2017-07-05T11:46:00,"['https://ci.xiaohongshu.com/649f8b89-d7c9-4178-8fad-222bf56c777b?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/b94e672d-1045-486e-9bd4-6f1341dc6a25?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/84a01dda-6ec3-4c57-a9a9-c0ae15604a8b?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90', 'https://ci.xiaohongshu.com/55741a97-45e9-4956-aa12-055d3c32746c?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90']",57,105,兰蔻Lancôme眼部肌底液大眼精华小黑瓶肌底液,https://www.xiaohongshu.com/discovery/item/595c6106d2c8a50c11f60953,https://www.xiaohongshu.com/user/profile/586af3656a6a6926ec429278
2868,5,20,甜甜,8.0,0.0,最近用兰蔻小黑瓶肌底液和雅诗兰黛小粽瓶搓泥怎么回事？求解😥,2019-06-12T22:18:00,['https://ci.xiaohongshu.com/1467912b-b592-3c02-948f-7f378ea66b5d?imageView2/2/w/1080/format/jpg?imageView2/2/w/100/h/100/q/90'],1,0,最近用兰蔻小黑瓶肌底液和雅诗兰黛 小粽瓶搓泥怎么回事？求解😥,https://www.xiaohongshu.com/discovery/item/5d01099a00000000270389c5,https://www.xiaohongshu.com/user/profile/54b0ac122e1d937823748fd4
