,name,city,address,cuisine,phone,lat,lon,rating,reviews_nr,url,source,website
5056,"Poco Mucho, Enschede",Enschede,"Korte Haaksbergerstraat 9 7511jv,Enschede,Overijssel Province,7511 JV",Argentinean;Vegetarian Friendly,+31 53 433 2222,52.22022,6.892951,4.5,230,https://www.tripadvisor.com/Restaurant_Review-g188605-d4085574-Reviews-Poco_Mucho-Enschede_Overijssel_Province.html,tripadvisor,http://www.pocomucho-enschede.nl/
18334,"Sirtaki, Zeist",Zeist,"Voorheuvel 19,Zeist,Utrecht Province,3701 JA",European;Greek;Vegetarian Friendly,+31 30 692 4282,52.086845,5.239658,4.0,51,https://www.tripadvisor.com/Restaurant_Review-g227923-d748390-Reviews-Sirtaki-Zeist.html,tripadvisor,http://www.sirtakizeist.nl
34442,"Grunhoffs Backstuuv, Marienhafe",Marienhafe,"Rosenstrasse 31,Marienhafe,Lower Saxony,26529",International,nan,53.52119,7.27585,4.0,2,https://www.tripadvisor.com/Restaurant_Review-g1583731-d13200608-Reviews-Grunhoffs_Backstuuv-Marienhafe_Lower_Saxony.html,tripadvisor,http://www.baeckerei-gruenhoff.de/
6683,"Bali, Zwolle",Zwolle,"T.A. Kempisstraat 17-19,Zwolle,Overijssel Province,8021 BG",Asian;Indonesian;Vegetarian Friendly,+31 38 453 3272,52.51539,6.1024,4.0,29,https://www.tripadvisor.com/Restaurant_Review-g188611-d748010-Reviews-Bali-Zwolle_Overijssel_Province.html,tripadvisor,http://tokobalizwolle.nl
7394,"Exit Cafe, Amsterdam: Address, Exit Cafe Reviews: 3.5/5",Amsterdam,"Reguliersdwarsstraat 42a,Amsterdam,North Holland Province,1017 BM",Bars & Clubs,nan,52.36625,4.89134,3.5,19,https://www.tripadvisor.com/Attraction_Review-g188590-d8588172-Reviews-Exit_Cafe-Amsterdam_North_Holland_Province.html,tripadvisor,nan
22762,"Paviljoen Stormvogel, Oostvoorne",Oostvoorne,"Noordoever Oostv Meer 1,Oostvoorne,South Holland Province,3233 NC",Dutch;European;Vegetarian Friendly,+31 181 263 959,51.93257,4.080952,4.0,45,https://www.tripadvisor.com/Restaurant_Review-g652362-d10067455-Reviews-Paviljoen_Stormvogel-Oostvoorne_South_Holland_Province.html,tripadvisor,http://paviljoen-stormvogel.nl/
8427,"Fenix Food Factory, Rotterdam",Rotterdam,"Veerlaan 19D,Rotterdam,South Holland Province,3072 AN",Quick Bites;Dutch;Bar,+31 10 218 0853,51.90241,4.48515,4.5,445,https://www.tripadvisor.com/Restaurant_Review-g188632-d8728099-Reviews-Fenix_Food_Factory-Rotterdam_South_Holland_Province.html,tripadvisor,http://www.fenixfoodfactory.nl
36511,"Subway, Borken",Borken,"Heidener Str. 32,Borken,North Rhine-Westphalia,46325",,+49 2861 9242570,51.846626,6.861774,nan,nan,https://www.tripadvisor.com/Restaurant_Review-g1641344-d20042362-Reviews-Subway-Borken_North_Rhine_Westphalia.html,tripadvisor,https://restaurants.subway.com/de/deutschland/nw/borken/heidener-str-32?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=68519&utm_campaign=evergreen-2020
7609,"Starbucks, Rotterdam",Rotterdam,"Burgemeester Oudlaan 50,Rotterdam,South Holland Province,3062 PA",Cafe,+31 10 408 2417,51.91712,4.525286,4.0,26,https://www.tripadvisor.com/Restaurant_Review-g188632-d7155509-Reviews-Starbucks-Rotterdam_South_Holland_Province.html,tripadvisor,http://www.starbucks.nl
12614,"Jofre eten en drinken, Nijmegen",Nijmegen,"van Welderenstraat 15,Nijmegen,Gelderland Province,6511 MA",French;Dutch;European,+31 24 679 3831,51.84333,5.86492,5.0,8,https://www.tripadvisor.com/Restaurant_Review-g188569-d10106595-Reviews-Jofre_eten_en_drinken-Nijmegen_Gelderland_Province.html,tripadvisor,http://www.facebook.com/Jofre-Eten-en-Drinken-325280194313653
35648,"McDonald‘s, Amsterdam",Amsterdam,"Albert Cuypstraat 75,Amsterdam,North Holland Province,1072 CN",,+31 20 672 0500,52.355022,4.889867,nan,nan,https://www.tripadvisor.com/Restaurant_Review-g188590-d21206629-Reviews-McDonald_s-Amsterdam_North_Holland_Province.html,tripadvisor,https://mcdonaldsrestaurant.nl/amsterdam-albert-cuyp
35646,"La Pooha, Amsterdam",Amsterdam,"Albert Cuypstraat 88,Amsterdam,North Holland Province,1072 CX",,nan,52.35493,4.890849,nan,nan,https://www.tripadvisor.com/Restaurant_Review-g188590-d21140931-Reviews-La_Pooha-Amsterdam_North_Holland_Province.html,tripadvisor,http://www.lapooha.nl
14987,"No-Nonsense heet nu Van der Kroft, Hoorn",,"West 52,,North Holland Province,1621 AW",Dutch;European,+31 229 232 671,52.63852,5.05873,4.0,24,https://www.tripadvisor.com/Restaurant_Review-g188595-d7273595-Reviews-No_Nonsense_heet_nu_Van_der_Kroft-Hoorn_North_Holland_Province.html,tripadvisor,http://restaurantnononsense.nl/contact/
34439,"Cafe Am Schiefen Turm, Hinte",Hinte,"Am Schiefen Turm 41,Hinte,Lower Saxony,26759",,+49 4925 938547,53.41424,7.22378,4.0,4,https://www.tripadvisor.com/Restaurant_Review-g2298335-d6672573-Reviews-Cafe_Am_Schiefen_Turm-Hinte_Lower_Saxony.html,tripadvisor,None
22025,"Zee van Tijd, Nes",Nes,"Rixt van Doniastraat 18,Nes,Friesland Province,9163 GR",Dutch;Seafood;International,+31 519 543 003,53.44629,5.769982,4.5,415,https://www.tripadvisor.com/Restaurant_Review-g652194-d3588852-Reviews-Zee_van_Tijd-Nes_Ameland_Friesland_Province.html,tripadvisor,http://www.zeevantijd.nl
31379,"Orangerie Mattemburgh, Hoogerheide",Hoogerheide,"Antwerpsestraatweg 181,Hoogerheide,North Brabant Province,4631 PN",Dutch;European;Vegetarian Friendly,+31 164 660 834,51.455166,4.311942,4.0,72,https://www.tripadvisor.com/Restaurant_Review-g1189891-d7125708-Reviews-Orangerie_Mattemburgh-Hoogerheide_North_Brabant_Province.html,tripadvisor,http://www.orangeriemattemburgh.nl/
27424,"Herberg Drie Koningen, Zuienkerke",,"Kerkhofstraat 17,,Flanders,8377",Belgian;European,+32 50 31 40 60,51.23585,3.11033,3.0,10,https://www.tripadvisor.com/Restaurant_Review-g641836-d2339859-Reviews-Herberg_Drie_Koningen-Zuienkerke_West_Flanders_Province.html,tripadvisor,None
20730,"Du Progres, Ghent",Ghent,"Korenmarkt 10,Ghent,Flanders,9000",Belgian;European;Vegetarian Friendly,+32 9 225 17 16,51.054626,3.721955,4.5,2084,https://www.tripadvisor.com/Restaurant_Review-g188666-d814598-Reviews-Du_Progres-Ghent_East_Flanders_Province.html,tripadvisor,http://www.duprogres.be/
4756,"Casa Sabatelli - Italian Pasta Makers, Eindhoven",Eindhoven,"Smalle Haven 2-12,Eindhoven,North Brabant Province,5611 EJ",Italian,+31 6 44579018,51.437145,5.481051,4.0,5,https://www.tripadvisor.com/Restaurant_Review-g188582-d15233579-Reviews-Casa_Sabatelli_Italian_Pasta_Makers-Eindhoven_North_Brabant_Province.html,tripadvisor,http://casasabatelli.nl
2061,"Strandpaviljoen Grand Plage, The Hague",,"Strandweg 42-43, Scheveningen,,South Holland Province,",Dutch;European,nan,52.114998,4.282194,3.0,42,https://www.tripadvisor.com/Restaurant_Review-g188633-d4057848-Reviews-Strandpaviljoen_Grand_Plage-The_Hague_South_Holland_Province.html,tripadvisor,http://www.grandplage.nl/
24911,"Restaurant Take Off, Teuge",Teuge,"de Zanden 13,Teuge,Gelderland Province,7395 PA",Dutch;European;Vegetarian Friendly,+31 55 323 1542,52.24106,6.04588,3.5,30,https://www.tripadvisor.com/Restaurant_Review-g2184494-d10532872-Reviews-Restaurant_Take_Off-Teuge_Gelderland_Province.html,tripadvisor,http://restauranttakeoff.nl/
37013,"L'inizio, Herve",Herve,"Outre-Cour 5,Herve,Wallonia,4651",Italian,+32 87 65 90 88,50.638885,5.780999,4.0,123,https://www.tripadvisor.com/Restaurant_Review-g2167862-d9563577-Reviews-L_inizio-Herve_Liege_Province_The_Ardennes_Wallonia.html,tripadvisor,https://www.linizioherve.be/
32510,"Subway, Nederweert",Nederweert,"Randweg West 4a,Nederweert,Limburg Province,6031 RS",,+31 495 626 283,51.278244,5.739688,nan,nan,https://www.tripadvisor.com/Restaurant_Review-g3732352-d20041995-Reviews-Subway-Nederweert_Limburg_Province.html,tripadvisor,https://restaurants.subway.com/netherlands/nederweert/randweg-west-4a?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=50842&utm_campaign=evergreen-2020
35306,"Mozaiek, The Hague",,"Copernicuslaan 1,,South Holland Province,2561 VA",Dutch;European,+31 70 363 1705,52.07517,4.27258,nan,nan,https://www.tripadvisor.com/Restaurant_Review-g188633-d15244537-Reviews-Mozaiek-The_Hague_South_Holland_Province.html,tripadvisor,None
15101,"Brasserie Down Town, Dordrecht",Dordrecht,"Bleijenhoek 2,Dordrecht,South Holland Province,3311 TA",Dutch;European;Vegetarian Friendly,+31 78 613 2425,51.819035,4.675558,3.5,91,https://www.tripadvisor.com/Restaurant_Review-g188627-d8842522-Reviews-Brasserie_Down_Town-Dordrecht_South_Holland_Province.html,tripadvisor,http://www.downtowndordrecht.nl
11037,"Pilsvogel, Amsterdam",Amsterdam,"Gerard Douplein 14 1072 VE,Amsterdam,North Holland Province,1072 VE",Dutch;Bar;International,+31 20 664 6483,52.355938,4.892875,4.0,133,https://www.tripadvisor.com/Restaurant_Review-g188590-d3595897-Reviews-Pilsvogel-Amsterdam_North_Holland_Province.html,tripadvisor,http://pilsvogel.nl/
8286,"Coffeecompany Rijnstraat, Amsterdam",Amsterdam,"Rijnstraat 32,Amsterdam,North Holland Province,1078 RC",,+31 20 238 4190,52.34745,4.90447,3.0,2,https://www.tripadvisor.com/Restaurant_Review-g188590-d12271834-Reviews-Coffeecompany_Rijnstraat-Amsterdam_North_Holland_Province.html,tripadvisor,http://www.coffeecompany.nl/locations/rijnstraat-32/
8192,"Tawazo, Amsterdam",Amsterdam,"503 Overtoom,Amsterdam,North Holland Province,1054 LH",Pakistani,+31 6 42264907,52.35797,4.85712,3.5,3,https://www.tripadvisor.com/Restaurant_Review-g188590-d10582563-Reviews-Tawazo-Amsterdam_North_Holland_Province.html,tripadvisor,https://www.facebook.com/tawazonl/
13596,"Fooddock, Deventer",,"Zuiderzeestraat 2 7411 MC Deventer,,Overijssel Province,7411 MC",Quick Bites;Dutch;Bar,+31 6 82822083,52.2459,6.169034,4.0,201,https://www.tripadvisor.com/Restaurant_Review-g188604-d8813241-Reviews-Fooddock-Deventer_Overijssel_Province.html,tripadvisor,http://www.fooddock.nl/
12078,"CT coffee & coconuts, Amsterdam",Amsterdam,"Ceintuurbaan 282/284,Amsterdam,North Holland Province,1072 GK",Cafe;Healthy;Street Food,+31 20 354 1104,52.352707,4.891414,4.0,991,https://www.tripadvisor.com/Restaurant_Review-g188590-d7728346-Reviews-CT_coffee_coconuts-Amsterdam_North_Holland_Province.html,tripadvisor,http://www.coffeeandcoconuts.com
26656,IJssalon La Dolce - Coevorden,,"Markt 10,,Drenthe Province,7741 JM",,+31 524 523 704,52.66083,6.74104,4.5,32,https://www.tripadvisor.com/Restaurant_Review-g652173-d6533209-Reviews-IJssalon_La_Dolce_Coevorden-Coevorden_Drenthe_Province.html,tripadvisor,http://ijssalon-ladolce.nl/vestigingen/coevorden.html
31711,Cafe de Haven Schoonoord,Schoonoord,"Havenstraat 3,Schoonoord,Drenthe Province,7848 AA",Cafe,+31 591 381 219,52.84681,6.75732,3.0,8,https://www.tripadvisor.com/Restaurant_Review-g7106662-d12641283-Reviews-Cafe_de_Haven_Schoonoord-Schoonoord_Drenthe_Province.html,tripadvisor,http://www.dehavenschoonoord.nl
26965,"Restaurant Cafe Aan Een, Emmeloord",Emmeloord,"Tinweg 14,Emmeloord,Flevoland Province,8304 BP",Dutch;European;Vegetarian Friendly,+31 527 205 793,52.68463,5.74143,4.0,17,https://www.tripadvisor.com/Restaurant_Review-g1087508-d10391761-Reviews-Restaurant_Cafe_Aan_Een-Emmeloord_Flevoland_Province.html,tripadvisor,http://www.etenaaneen.nl
23895,"Koenig City, Aachen",Aachen,"Holzgraben 7,Aachen,North Rhine-Westphalia,52062",German;Vegetarian Friendly,+49 241 26707,50.775085,6.087624,3.5,46,https://www.tripadvisor.com/Restaurant_Review-g187367-d960817-Reviews-Koenig_City-Aachen_North_Rhine_Westphalia.html,tripadvisor,None
18232,"Echte Bakker Piet Daane, Vlissingen",Vlissingen,"Logistiekweg 10,Vlissingen,Zeeland Province,4387 PK",,+31 118 431 087,51.4722,3.58901,nan,nan,https://www.tripadvisor.com/Restaurant_Review-g188621-d15650016-Reviews-Echte_Bakker_Piet_Daane-Vlissingen_Zeeland_Province.html,tripadvisor,http://www.pietdaane.nl
35142,Spar Kroon Noordbroek,Noordbroek,"Hoofdstraat 36,Noordbroek,Groningen Province,9635 AV",Italian;French;Dutch,+31 598 451 421,53.194885,6.87416,nan,nan,https://www.tripadvisor.com/Restaurant_Review-g3569535-d20982652-Reviews-Spar_Kroon_Noordbroek-Noordbroek.html,tripadvisor,http://www.spar.nl/winkels/spar-kroon-noordbroek-201/
14709,"Oost, Roosendaal",Roosendaal,"Bloemenmarkt 14,Roosendaal,North Brabant Province,4701 JB",Seafood;Middle Eastern;Vegetarian Friendly,+31 165 769 153,51.533955,4.457713,4.0,38,https://www.tripadvisor.com/Restaurant_Review-g580393-d14761331-Reviews-Oost-Roosendaal_North_Brabant_Province.html,tripadvisor,http://restaurant-oost.nl/
19479,"Huenkar, Ubach-Palenberg",Ubach-Palenberg,"Roermonder Str. 62,Ubach-Palenberg,North Rhine-Westphalia,52531",Turkish;Vegetarian Friendly,+49 2404 9555395,50.91178,6.13691,3.0,17,https://www.tripadvisor.com/Restaurant_Review-g1063615-d12842910-Reviews-Huenkar-Ubach_Palenberg_North_Rhine_Westphalia.html,tripadvisor,https://www.facebook.com/restauranthuenkar/
1403,"P.S. koffie, thee & taart, Groningen",Groningen,"Oude Kijk in't Jatstraat 24,Groningen,Groningen Province,9712 EJ",Vegetarian Friendly;Vegan Options,+31 50 760 0769,53.218994,6.562199,4.5,64,https://www.tripadvisor.com/Restaurant_Review-g188572-d2248959-Reviews-P_S_koffie_thee_taart-Groningen.html,tripadvisor,http://mijnps.nl/
20297,"De Herbergh 1883, Uithoorn",Uithoorn,"Schans 108,Uithoorn,North Holland Province,1423 CA",Bar;Cafe;European,+31 297 761 759,52.23098,4.82894,4.5,2,https://www.tripadvisor.com/Restaurant_Review-g635667-d19256725-Reviews-De_Herbergh_1883-Uithoorn_North_Holland_Province.html,tripadvisor,http://herbergh1883.nl
20801,"Brasserie Sebastiaan, Lochristi",,"Schoolstraat 66,,Flanders,9080",Belgian;European;Vegetarian Friendly,+32 9 355 61 26,51.09982,3.826821,4.0,84,https://www.tripadvisor.com/Restaurant_Review-g1602377-d4542201-Reviews-Brasserie_Sebastiaan-Lochristi_East_Flanders_Province.html,tripadvisor,http://www.brasserie-sebastiaan.be/
30489,"Cafe Restaurant de Graaf van Horne, Horn",Horn,"Rijksweg 16,Horn,Limburg Province,6085 AC",Dutch;International;European,+31 475 581 221,51.20966,5.93958,4.5,13,https://www.tripadvisor.com/Restaurant_Review-g2630491-d3805785-Reviews-Cafe_Restaurant_de_Graaf_van_Horne-Horn_Limburg_Province.html,tripadvisor,http://degraafvanhorne.nl/index.html
12130,"Kevin Bacon Bar, Amsterdam",Amsterdam,"Witte de Withstraat 38,Amsterdam,North Holland Province,1057 XZ",Bar;Asian;Thai,+31 20 820 4538,52.366196,4.859289,4.5,94,https://www.tripadvisor.com/Restaurant_Review-g188590-d8626027-Reviews-Kevin_Bacon_Bar-Amsterdam_North_Holland_Province.html,tripadvisor,http://www.kevinbacon.nl/
2777,"Naga Thai, The Hague",,"Frederik Hendriklaan 264,,South Holland Province,2582",Asian;Thai;Fusion,+31 70 355 8857,52.08972,4.274893,4.0,175,https://www.tripadvisor.com/Restaurant_Review-g188633-d2366360-Reviews-Naga_Thai-The_Hague_South_Holland_Province.html,tripadvisor,http://nagathai.nl/
5890,"Asian Palace, Leiden",,"Steenstraat 55,,South Holland Province,2312 BV",Chinese;Sushi;Asian,+31 71 513 1851,52.16207,4.48462,3.5,66,https://www.tripadvisor.com/Restaurant_Review-g188630-d749114-Reviews-Asian_Palace-Leiden_South_Holland_Province.html,tripadvisor,http://www.asianpalace-leiden.nl
14029,"La Place, Emmen",Emmen,"Monetpassage 3,Emmen,Drenthe Province,7811 DL",Dutch;European,+31 88 999 8555,52.782948,6.893268,4.0,15,https://www.tripadvisor.com/Restaurant_Review-g188557-d12858486-Reviews-La_Place-Emmen_Emmen_Municipality_Drenthe_Province.html,tripadvisor,http://www.laplace.com/nl
33990,"Kennedy-Grill, Aachen",Aachen,"Elsassstr. 55a,Aachen,North Rhine-Westphalia,52068",,+49 241 536777,50.77415,6.11626,3.5,7,https://www.tripadvisor.com/Restaurant_Review-g187367-d5523171-Reviews-Kennedy_Grill-Aachen_North_Rhine_Westphalia.html,tripadvisor,None
22812,"La Place, Hellevoetsluis",Hellevoetsluis,"Struytse Hoeck 65A,Hellevoetsluis,South Holland Province,3224 HA",,+31 6 12697504,51.8324,4.1463,3.5,3,https://www.tripadvisor.com/Restaurant_Review-g1045108-d16874237-Reviews-La_Place-Hellevoetsluis_South_Holland_Province.html,tripadvisor,https://www.laplace.com/en/international-locations/netherlands
5863,"La Place, Leiden",,"Stationsplein 3E Leiden Centraal Station,,South Holland Province,2312 AJ",Dutch;European;Vegetarian Friendly,+31 88 999 8555,52.166286,4.482072,4.0,18,https://www.tripadvisor.com/Restaurant_Review-g188630-d8735541-Reviews-La_Place-Leiden_South_Holland_Province.html,tripadvisor,http://www.laplace.com/nl/
7851,"Casa Reinders, Rotterdam",Rotterdam,"Vlietlaan 50E,Rotterdam,South Holland Province,3061 DZ",European,+31 6 15118248,51.9291,4.50232,5.0,3,https://www.tripadvisor.com/Restaurant_Review-g188632-d18380351-Reviews-Casa_Reinders-Rotterdam_South_Holland_Province.html,tripadvisor,http://www.casareinders.com
36593,"Eiscafe Opera, Borken",Borken,"Duelmener Weg 48,Borken,North Rhine-Westphalia,46325",,+49 2861 8040445,51.84266,6.875318,4.5,4,https://www.tripadvisor.com/Restaurant_Review-g1641344-d5820030-Reviews-Eiscafe_Opera-Borken_North_Rhine_Westphalia.html,tripadvisor,https://www.facebook.com/EisCafeOpera/
19801,"Taktus Tanzbistro - Dancing & Musik-Lounge, Herzogenrath",Herzogenrath,"Bahnhofstr. 16,Herzogenrath,North Rhine-Westphalia,52134",,+49 1512 2668808,50.86927,6.09452,4.5,7,https://www.tripadvisor.com/Restaurant_Review-g1051822-d10253115-Reviews-Taktus_Tanzbistro_Dancing_Musik_Lounge-Herzogenrath_North_Rhine_Westphalia.html,tripadvisor,http://www.tanzbistro.de
34265,"Bistro Pizzastubchen, Norden",,"Neuer Weg 120,,Lower Saxony,26506",Vegetarian Friendly,+49 4931 5334,53.596024,7.208344,4.0,40,https://www.tripadvisor.com/Restaurant_Review-g198484-d5518236-Reviews-Bistro_Pizzastubchen-Norden_Lower_Saxony.html,tripadvisor,None
11383,"Pizzeria La Vita, Amsterdam",Amsterdam,"Lindengracht 29-31,Amsterdam,North Holland Province,1015 KB",Italian;Pizza;European,+31 6 22270822,52.380524,4.886871,4.0,89,https://www.tripadvisor.com/Restaurant_Review-g188590-d3476618-Reviews-Pizzeria_La_Vita-Amsterdam_North_Holland_Province.html,tripadvisor,http://www.restaurantlavita.nl
6031,"de Koning eten &drinken, Alkmaar",Alkmaar,"Verdronkenoord 114,Alkmaar,North Holland Province,1811 BH",Dutch;Bar;Seafood,+31 6 23830378,52.629955,4.750275,4.5,184,https://www.tripadvisor.com/Restaurant_Review-g188589-d10082729-Reviews-De_Koning_eten_drinken-Alkmaar_North_Holland_Province.html,tripadvisor,http://www.dekoning-alkmaar.nl/
34423,"Eiscafe Venezia, Leer",Leer,"Muhlenstrasse 103,Leer,Lower Saxony,26789",,+49 491 3508,53.230988,7.459789,3.5,8,https://www.tripadvisor.com/Restaurant_Review-g230062-d10761157-Reviews-Eiscafe_Venezia-Leer_Lower_Saxony.html,tripadvisor,None
21140,"the Gallery Tapas&Wijnen, Winterswijk",Winterswijk,"Meddosestraat 8,Winterswijk,Gelderland Province,7101 CV",,+31 543 533 773,51.97287,6.72009,4.5,5,https://www.tripadvisor.com/Restaurant_Review-g227935-d13417679-Reviews-The_Gallery_Tapas_Wijnen-Winterswijk_Gelderland_Province.html,tripadvisor,http://www.skopein.nl/tapas-wijnen/home
891,"Eetbar De Wagon, Tilburg",Tilburg,"Burgemeester Brokxlaan 1041,Tilburg,North Brabant Province,5041 RP",Dutch;Seafood;International,+31 13 203 5051,51.561928,5.082358,4.0,91,https://www.tripadvisor.com/Restaurant_Review-g188586-d12365313-Reviews-Eetbar_De_Wagon-Tilburg_North_Brabant_Province.html,tripadvisor,https://www.facebook.com/eetbardewagon/
11579,"Starbucks, Amsterdam",Amsterdam,"Oosterdoksstraat 4 DoubleTree by Hilton Hotel Amsterdam Centraal Station,Amsterdam,North Holland Province,1011 DK",Quick Bites;Cafe,+31 20 530 0800,52.376812,4.904377,4.0,315,https://www.tripadvisor.com/Restaurant_Review-g188590-d6592006-Reviews-Starbucks-Amsterdam_North_Holland_Province.html,tripadvisor,http://www.starbucks.com
19050,"Restaurant Promessa, Eersel",Eersel,"Markt 3-5,Eersel,North Brabant Province,5521 AJ",Dutch;Seafood;International,+31 497 530 510,51.36028,5.308063,4.5,139,https://www.tripadvisor.com/Restaurant_Review-g1778112-d1057790-Reviews-Restaurant_Promessa-Eersel_North_Brabant_Province.html,tripadvisor,http://www.promessa.nl
5567,"La Cubanita, Amersfoort",Amersfoort,"Eemplein 85,Amersfoort,Utrecht Province,3812 EA",Caribbean;Mediterranean;European,+31 33 448 1005,52.15937,5.383661,3.0,158,https://www.tripadvisor.com/Restaurant_Review-g188613-d6674487-Reviews-La_Cubanita-Amersfoort.html,tripadvisor,http://www.lacubanita.nl/
10571,"Nessst, Amsterdam",Amsterdam,"Paul van Vlissingenstraat 2b,Amsterdam,North Holland Province,1096 BD",Dutch;Cajun & Creole;International,+31 20 221 9934,52.33408,4.92175,4.0,31,https://www.tripadvisor.com/Restaurant_Review-g188590-d8757514-Reviews-Nessst-Amsterdam_North_Holland_Province.html,tripadvisor,http://restaurantnessst.bar/
25787,"Brasserie De Buren, Maaseik",Maaseik,"Van Eycklaan 74,Maaseik,Flanders,3680",Belgian;Seafood;European,+32 89 62 26 00,51.09965,5.787897,4.0,89,https://www.tripadvisor.com/Restaurant_Review-g941689-d3632983-Reviews-Brasserie_De_Buren-Maaseik_Limburg_Province.html,tripadvisor,http://www.deburenmaaseik.be/
21435,"Westenwind, Egmond aan Zee",Egmond aan Zee,"Westeinde 2,Egmond aan Zee,North Holland Province,1931 AB",Dutch;European;Vegetarian Friendly,+31 72 506 4522,52.617695,4.621101,4.0,107,https://www.tripadvisor.com/Restaurant_Review-g652297-d3812475-Reviews-Westenwind-Egmond_aan_Zee_North_Holland_Province.html,tripadvisor,http://www.restaurantwestenwind.nl
20195,"Gasthof d'Ouwe Schuure, Sluis",Sluis,"Sint Annastraat 191,Sluis,Zeeland Province,4524 JH",Belgian;Dutch;Seafood,+31 117 462 232,51.3133,3.36385,4.5,165,https://www.tripadvisor.com/Restaurant_Review-g1643631-d6508354-Reviews-Gasthof_d_Ouwe_Schuure-Sluis_Zeeland_Province.html,tripadvisor,http://www.ouweschuure.nl/index.php/en/
14887,"McDonald's, Roosendaal",Roosendaal,"Takspui 2,Roosendaal,North Brabant Province,4706 CM",,+31 165 555 866,51.53515,4.48459,2.5,2,https://www.tripadvisor.com/Restaurant_Review-g580393-d12224939-Reviews-McDonald_s-Roosendaal_North_Brabant_Province.html,tripadvisor,http://www.mcdonaldsrestaurant.nl/roosendaal/restaurants/mcdonalds-roosendaal
