,name,city,avg_price,phone,address,review_count,star,url
125177,九板烧饼,上海,¥7/人,18001775336,云屏路1520弄13号,41.0,3.5,http://www.dianping.com/shop/93531110
25561,渝庄酒家,上海,,65434046,隆昌路440号,0.0,3.0,http://www.dianping.com/shop/15008726
115906,佳程之星,崇明区,,59649106,前卫村513号,0.0,0.0,http://www.dianping.com/shop/90999918
10169,ZEN MASSAGE,上海,¥292/人,33681227,五原路210弄1号,441.0,5.0,http://www.dianping.com/shop/4707624
5564,汉庭,上海,¥417/人,58555000,蔡伦路333号,211.0,3.5,http://www.dianping.com/shop/3027487
101318,扫货进口食品直销店,上海,,13301953331,华灵路1265号,6.0,3.5,http://www.dianping.com/shop/77563520
126709,惠粤轩煲仔饭,上海,,15820217760,吴泾镇龙吴路5530弄,0.0,0.0,http://www.dianping.com/shop/93968482
36898,哈哈镜,上海,¥49/人,18721833816;15901754161,中山北路2640号,137.0,3.5,http://www.dianping.com/shop/18767638
79302,丁记饼屋,上海,,,淮海东路60号甲,1.0,3.0,http://www.dianping.com/shop/67068973
131094,猫不理，香辣烤虾,上海,,,中国（上海）自由贸易试验区张杨路601号三层C-18室,1.0,0.0,http://www.dianping.com/shop/96198960
185837,徽菜小馆,上海,,13701877088,上海宝山水产路2399号145室,0.0,0.0,http://www.dianping.com/shop/114840169
34897,福建沙县小吃,上海,¥16/人,15202185541,图们路5号,19.0,3.5,http://www.dianping.com/shop/18045545
45604,哈哈镜,上海,,15921558663,蒙自路442号,10.0,3.5,http://www.dianping.com/shop/22712075
162231,花果山果品批发行,上海,,15601914699,菜场路108号,3.0,3.0,http://www.dianping.com/shop/104646746
157230,妙生活,上海,,32167777,灵岩南路1078号,15.0,3.5,http://www.dianping.com/shop/102264635
169595,星竞界电竞网咖,上海,,13761090790;58120051,康桥路1566号,13.0,3.5,http://www.dianping.com/shop/108352592
38023,金谷香牛肉面,上海,¥16/人,13816346963,虹漕路28号,7.0,3.5,http://www.dianping.com/shop/19303514
85363,安徽特色土菜馆,上海,,57175038;13761394746,奉城镇塘外文化街126号,0.0,0.0,http://www.dianping.com/shop/68565120
124865,新泓能光热轻运动,上海,,,鹤望路739~755号,0.0,0.0,http://www.dianping.com/shop/93476495
133791,一只鼎餐厅,上海,¥68/人,13795319350,惠南镇拱极路4670号一层3室4室,64.0,4.0,http://www.dianping.com/shop/96659887
89575,台资味,上海,¥20/人,13023129661,南汇新城镇沪城环路699弄155号205、206室,9.0,3.5,http://www.dianping.com/shop/69450602
19848,一品红川菜,上海,¥57/人,65055099,开鲁路192-1号,29.0,3.5,http://www.dianping.com/shop/13663463
90467,沁香农家旅馆,崇明区,¥208/人,17091921137,绿华镇绿港村绿港北路建同402号,3.0,3.0,http://www.dianping.com/shop/69668118
149819,上海江阳水产品批发交易市场K3区,上海,,,泰和路1852号附近,0.0,0.0,http://www.dianping.com/shop/100407574
182923,轻住·艾森设计师酒店,上海,¥314/人,62277886;13310188840,江苏路589号,72.0,3.5,http://www.dianping.com/shop/113960137
176142,山林熟食,上海,¥50/人,18117304849,复兴中路1240号,24.0,3.5,http://www.dianping.com/shop/111807304
68510,Coffee Boy Studio,上海,¥40/人,58371567,安悦路100弄6号1702,1.0,3.5,http://www.dianping.com/shop/58546859
131378,Vape In Pub电子烟酒吧,上海,,13301853062,凤城路5号临2甲,10.0,3.5,http://www.dianping.com/shop/96277553
109128,柳记蒸香鸭,上海,,15216770889,北青公路467号附近,0.0,0.0,http://www.dianping.com/shop/80457659
190066,巴黎贝甜,上海,¥56/人,13918525431,北蔡镇北中路160-178号、沪南路959-999号一层109室,74.0,4.0,http://www.dianping.com/shop/122146645
8224,留夫鸭,上海,¥35/人,68008596,南汇区城东路615号,93.0,3.5,http://www.dianping.com/shop/4111325
115181,零食多,上海,,13671836591,航头镇沪南路5588号农工商超市停车场,1.0,3.5,http://www.dianping.com/shop/90589974
192274,雷记饭店,上海,,18217350756,万安街268号,0.0,0.0,http://www.dianping.com/shop/122781403
90197,大桶大足浴,上海,¥247/人,57686669,新南街278号,112.0,5.0,http://www.dianping.com/shop/69613489
66243,新闻棋牌室,上海,,13764112337,江学路201弄47号,0.0,0.0,http://www.dianping.com/shop/57482825
73896,徽州馆,上海,,,西渡镇扶港路208号徽州馆,2.0,3.5,http://www.dianping.com/shop/65393913
73131,撒拉人家鼎盛牛肉面,上海,,15349766264,浦东南路2304号14幢105铺,9.0,3.5,http://www.dianping.com/shop/64877634
103381,网吧电玩,上海,,,凌兆路841号,0.0,0.0,http://www.dianping.com/shop/77980409
168449,宴会,上海,,18221830782,申长路668号冠捷大厦b1-03,0.0,0.0,http://www.dianping.com/shop/108134315
660,雅家乐酒家,上海,¥50/人,58673107,东塘路872-880号,13.0,3.5,http://www.dianping.com/shop/505824
39066,来伊份,上海,¥25/人,4008819777,昌里路260号底层,51.0,3.5,http://www.dianping.com/shop/19668189
40828,大馥 · 炭火烧肉屋,上海,¥174/人,62317779,安远路530号,4954.0,5.0,http://www.dianping.com/shop/20917712
13334,御上茗,上海,¥116/人,52260953;18916784085,吴中路1389书香世家大酒店1楼大堂内,28.0,4.5,http://www.dianping.com/shop/5618496
42777,丰收日,上海,¥121/人,32231777;4008205757,宋园路71-73号,969.0,3.5,http://www.dianping.com/shop/21738235
180794,绿缘食品有限公司,上海,,56906207,天通庵路151,0.0,0.0,http://www.dianping.com/shop/112970866
24646,巴比馒头,上海,,13621692936,五莲路898-1号,4.0,3.5,http://www.dianping.com/shop/14989981
143504,SOHO,上海,,,灵石路702号甲,6.0,3.0,http://www.dianping.com/shop/98616340
61910,家园水果店,上海,,15900639752,新行路447号,3.0,3.5,http://www.dianping.com/shop/49182756
51244,邻果果业,上海,,,常德路812弄1号,2.0,3.5,http://www.dianping.com/shop/27343224
94082,王小姐脆皮鸡米饭,上海,￥19/人,17717677249,淞虹路207号明基广场C座嘉香荟美食城G1-01,16.0,3.5,http://www.dianping.com/shop/72457885
31757,巫山烤全鱼,上海,,13701938853;69989779,仓场路2744号,5.0,3.0,http://www.dianping.com/shop/16814192
71129,阿雨烧烤夜宵,上海,,13127672177,真大路431号,4.0,3.0,http://www.dianping.com/shop/62567243
58073,浦南水果批发部,上海,,,济荣路足辉皮鞋店斜对面,0.0,0.0,http://www.dianping.com/shop/43995455
96711,江南文化创意坊,上海,,,漕河街与漕河街117弄交叉口西50米,1.0,3.5,http://www.dianping.com/shop/74999128
181706,SILENTLY ACCOMPANY U,上海,¥131/人,65053306,长阳路1687号长阳创谷C区独角兽花园大街8号,81.0,4.0,http://www.dianping.com/shop/113170140
32808,农家乐饭店,上海,,18918927978,步韵路116号,0.0,0.0,http://www.dianping.com/shop/17441291
55531,牛奶酒水平价,上海,,,广灵四路177号,0.0,0.0,http://www.dianping.com/shop/40556219
71242,无为板鸭,上海,,,万祥街与三三公路交叉口西南50米,0.0,0.0,http://www.dianping.com/shop/62626769
161598,萧记遵义羊肉粉,上海,,18701888895,北青公路6598弄24号楼,5.0,3.5,http://www.dianping.com/shop/103645769
148716,兴达蔬菜店,上海,,,宣桥镇南季路521号,0.0,0.0,http://www.dianping.com/shop/99968026
10194,重庆鸡公煲,上海,¥53/人,33023660,肇周路152号,58.0,3.5,http://www.dianping.com/shop/4710145
129296,吉品合烤饼,上海,¥12/人,17621938990,淞沪路199号江湾体育场内淞沪路199号太平洋森活广场B1层B25号,324.0,4.0,http://www.dianping.com/shop/95890327
182163,福善村会所,上海,,13501982806,福善村692,0.0,0.0,http://www.dianping.com/shop/113826093
78822,法森贝克,上海,¥53/人,58599277,川沙镇新川路622号好德便利店对面,545.0,4.0,http://www.dianping.com/shop/66953858
33686,和筋堂·脐疗养生,上海,¥90/人,65081858,四平路782号,273.0,4.5,http://www.dianping.com/shop/17706456
14889,DENGGO咖啡厅,上海,,,凯旋路88号笠园凯旋坊内,4.0,3.5,http://www.dianping.com/shop/6059601
137483,汉霸汉堡,上海,,18301882047,东书房路360号,31.0,3.5,http://www.dianping.com/shop/97672129
159967,长湘依湘菜馆,上海,,18621709759,车墩镇南乐路518号2栋号,0.0,0.0,http://www.dianping.com/shop/103014813
91383,意新艺术空间,上海,,15800630938,沪太路5018号,0.0,0.0,http://www.dianping.com/shop/69868493
105290,炭烤肉692,上海,,,环城东路航南公路交汇处宝龙广场10号楼,0.0,0.0,http://www.dianping.com/shop/79476699
4388,昇鳗鱼家いば昇,上海,¥185/人,54224871,虹梅路3717弄26号森晟世洋国际广场1楼,538.0,4.0,http://www.dianping.com/shop/2696437
66906,间离剧,上海,¥251/人,17717372704,锦创路20号601,58.0,4.0,http://www.dianping.com/shop/57760958
11524,留园养生,上海,¥168/人,34323235,虹泉路1051弄17号,1462.0,5.0,http://www.dianping.com/shop/5289431
162554,星期八咖啡,上海,,,云谷路299号2附近,0.0,0.0,http://www.dianping.com/shop/104964667
928,Ginger,上海,¥239/人,34060599,兴国路91号,1277.0,4.5,http://www.dianping.com/shop/565910
192403,福禄农家菜,上海,,13381985533,泥城镇南芦公路1588号2室,3.0,3.0,http://www.dianping.com/shop/122802651
143603,老上海葱油饼,上海,,13524233156,江西中路430号,5.0,3.5,http://www.dianping.com/shop/98631115
86537,福建千里香馄饨,上海,¥11/人,13917185914,佘山镇昌业路172号,0.0,0.0,http://www.dianping.com/shop/68864083
